Server_Name,OS_TYPE,OS_VERSION,ARC_TYPE,CPU_TYPE
192.168.0.5, CentOS Linux , 8.4.2105,x86_64, Intel(R) Core(TM) i3-5005U CPU @ 2.00GHz
192.168.0.15, Debian GNU/Linux , 10 ,x86_64, Intel(R) Core(TM) i3-5005U CPU @ 2.00GHz
